sample	gene_count	class
tumor54_ip_peaks_pc_gene_summary.txt	126	4
tumor55_ip_peaks_pc_gene_summary.txt	98	4
tumor5_ip_peaks_pc_gene_summary.txt	119	4
tumor6_ip_peaks_pc_gene_summary.txt	131	4
tumor7_ip_peaks_pc_gene_summary.txt	95	4
tumor8_ip_peaks_pc_gene_summary.txt	119	4
normal01_ip_peaks_pc_gene_summary.txt	668	5
normal02_ip_peaks_pc_gene_summary.txt	806	5
normal03_ip_peaks_pc_gene_summary.txt	824	5
normal04_ip_peaks_pc_gene_summary.txt	625	5
normal05_ip_peaks_pc_gene_summary.txt	766	5
normal06_ip_peaks_pc_gene_summary.txt	778	5
normal07_ip_peaks_pc_gene_summary.txt	736	5
normal08_ip_peaks_pc_gene_summary.txt	789	5
normal09_ip_peaks_pc_gene_summary.txt	810	5
normal10_ip_peaks_pc_gene_summary.txt	786	5
tumor10_ip_peaks_pc_gene_summary.txt	617	6
tumor11_ip_peaks_pc_gene_summary.txt	500	6
tumor12_ip_peaks_pc_gene_summary.txt	571	6
tumor13_ip_peaks_pc_gene_summary.txt	522	6
tumor14_ip_peaks_pc_gene_summary.txt	584	6
tumor15_ip_peaks_pc_gene_summary.txt	550	6
tumor16_ip_peaks_pc_gene_summary.txt	367	6
tumor17_ip_peaks_pc_gene_summary.txt	470	6
tumor18_ip_peaks_pc_gene_summary.txt	476	6
tumor19_ip_peaks_pc_gene_summary.txt	583	6
tumor20_ip_peaks_pc_gene_summary.txt	439	6
tumor21_ip_peaks_pc_gene_summary.txt	417	6
tumor22_ip_peaks_pc_gene_summary.txt	392	6
tumor23_ip_peaks_pc_gene_summary.txt	407	6
tumor24_ip_peaks_pc_gene_summary.txt	485	6
tumor25_ip_peaks_pc_gene_summary.txt	548	6
tumor26_ip_peaks_pc_gene_summary.txt	587	6
tumor27_ip_peaks_pc_gene_summary.txt	570	6
tumor28_ip_peaks_pc_gene_summary.txt	608	6
tumor29_ip_peaks_pc_gene_summary.txt	632	6
tumor2_ip_peaks_pc_gene_summary.txt	603	6
tumor30_ip_peaks_pc_gene_summary.txt	614	6
tumor31_ip_peaks_pc_gene_summary.txt	542	6
tumor32_ip_peaks_pc_gene_summary.txt	528	6
tumor33_ip_peaks_pc_gene_summary.txt	761	6
tumor34_ip_peaks_pc_gene_summary.txt	487	6
tumor35_ip_peaks_pc_gene_summary.txt	558	6
tumor36_ip_peaks_pc_gene_summary.txt	534	6
tumor37_ip_peaks_pc_gene_summary.txt	529	6
tumor38_ip_peaks_pc_gene_summary.txt	615	6
tumor39_ip_peaks_pc_gene_summary.txt	600	6
tumor3_ip_peaks_pc_gene_summary.txt	447	6
tumor40_ip_peaks_pc_gene_summary.txt	510	6
tumor41_ip_peaks_pc_gene_summary.txt	686	6
tumor42_ip_peaks_pc_gene_summary.txt	652	6
tumor43_ip_peaks_pc_gene_summary.txt	519	6
tumor44_ip_peaks_pc_gene_summary.txt	696	6
tumor47_ip_peaks_pc_gene_summary.txt	701	6
tumor48_ip_peaks_pc_gene_summary.txt	593	6
tumor49_ip_peaks_pc_gene_summary.txt	672	6
tumor4_ip_peaks_pc_gene_summary.txt	557	6
tumor50_ip_peaks_pc_gene_summary.txt	850	6
tumor51_ip_peaks_pc_gene_summary.txt	677	6
tumor52_ip_peaks_pc_gene_summary.txt	524	6
tumor53_ip_peaks_pc_gene_summary.txt	589	6
tumor54_ip_peaks_pc_gene_summary.txt	500	6
tumor55_ip_peaks_pc_gene_summary.txt	441	6
tumor5_ip_peaks_pc_gene_summary.txt	456	6
tumor6_ip_peaks_pc_gene_summary.txt	553	6
tumor7_ip_peaks_pc_gene_summary.txt	522	6
tumor8_ip_peaks_pc_gene_summary.txt	509	6
