all 	 overlaped
10387 	 6566
10387 	 8110
10387 	 7453
10387 	 7237
10387 	 7208
10387 	 6071
10387 	 8010
10387 	 7430
10387 	 7058
10387 	 6895
10387 	 5663
10387 	 5603
10387 	 6242
10387 	 6972
10387 	 6820
10387 	 6991
12866 	 7216
12866 	 7167
12866 	 5161
12866 	 6083
12866 	 6409
12866 	 7120
12866 	 8237
12866 	 8304
12866 	 8578
12866 	 8768
12866 	 8627
12866 	 8600
12866 	 7563
12866 	 8280
12866 	 9614
12866 	 7236
12866 	 7888
12866 	 6606
12866 	 7444
12866 	 8280
12866 	 8993
12866 	 5807
12866 	 7115
12866 	 8726
12866 	 8970
12866 	 7511
12866 	 9720
12866 	 8724
12866 	 8541
12866 	 8638
12866 	 7075
12866 	 9699
12866 	 8971
12866 	 8527
12866 	 8369
12866 	 6466
12866 	 6299
12866 	 7402
12866 	 8182
12866 	 7897
12866 	 7927
10124 	 6041
10124 	 4577
10124 	 5572
10124 	 5473
10124 	 6066
10124 	 6974
10124 	 7183
10124 	 7074
10124 	 7093
10124 	 6990
10124 	 6913
10124 	 6565
10124 	 6850
10124 	 7851
10124 	 6209
10124 	 6485
10124 	 5798
10124 	 6154
10124 	 7013
10124 	 7201
10124 	 5264
10124 	 6405
10124 	 7293
10124 	 7222
10124 	 6617
10124 	 7801
10124 	 7133
10124 	 7249
10124 	 7170
10124 	 6050
10124 	 7709
10124 	 7574
10124 	 7352
10124 	 6848
10124 	 5584
10124 	 5331
10124 	 6200
10124 	 6980
10124 	 7198
10124 	 6769
10106 	 5064
10106 	 5685
10106 	 6056
10106 	 6451
10106 	 7272
10106 	 7306
10106 	 7566
10106 	 7738
10106 	 7590
10106 	 7629
10106 	 6992
10106 	 7458
10106 	 8103
10106 	 6571
10106 	 7125
10106 	 6284
10106 	 6741
10106 	 7379
10106 	 7872
10106 	 5437
10106 	 6507
10106 	 7628
10106 	 7797
10106 	 6706
10106 	 8114
10106 	 7574
10106 	 7403
10106 	 7729
10106 	 6475
10106 	 8187
10106 	 7650
10106 	 7342
10106 	 7481
10106 	 6099
10106 	 5982
10106 	 6718
10106 	 7303
10106 	 7169
10106 	 7076
8141 	 5013
8141 	 5378
8141 	 5403
8141 	 5979
8141 	 6158
8141 	 6035
8141 	 6184
8141 	 5766
8141 	 6148
8141 	 5804
8141 	 6143
8141 	 6284
8141 	 5462
8141 	 5759
8141 	 5394
8141 	 5565
8141 	 5940
8141 	 6094
8141 	 4502
8141 	 5233
8141 	 5892
8141 	 6033
8141 	 5330
8141 	 6325
8141 	 6032
8141 	 5988
8141 	 6045
8141 	 5010
8141 	 6299
8141 	 5825
8141 	 5776
8141 	 5816
8141 	 5023
8141 	 5064
8141 	 5223
8141 	 5645
8141 	 5704
8141 	 5686
9240 	 5550
9240 	 5808
9240 	 6517
9240 	 6599
9240 	 6636
9240 	 6716
9240 	 6478
9240 	 6651
9240 	 6437
9240 	 6534
9240 	 7051
9240 	 5972
9240 	 6382
9240 	 5729
9240 	 5975
9240 	 6576
9240 	 6795
9240 	 5017
9240 	 5944
9240 	 6633
9240 	 6667
9240 	 5992
9240 	 7121
9240 	 6668
9240 	 6565
9240 	 6662
9240 	 5605
9240 	 7102
9240 	 6804
9240 	 6599
9240 	 6351
9240 	 5462
9240 	 5325
9240 	 5738
9240 	 6368
9240 	 6559
9240 	 6210
9620 	 6111
9620 	 7074
9620 	 6860
9620 	 7308
9620 	 7328
9620 	 7031
9620 	 7238
9620 	 6513
9620 	 7263
9620 	 7742
9620 	 6376
9620 	 6871
9620 	 6084
9620 	 6609
9620 	 7044
9620 	 7199
9620 	 5241
9620 	 6020
9620 	 7078
9620 	 7042
9620 	 6312
9620 	 7793
9620 	 7331
9620 	 6907
9620 	 7075
9620 	 5954
9620 	 7800
9620 	 7133
9620 	 6685
9620 	 6760
9620 	 5714
9620 	 5829
9620 	 6150
9620 	 6934
9620 	 6643
9620 	 6750
10812 	 7097
10812 	 7446
10812 	 7362
10812 	 7599
10812 	 7226
10812 	 7280
10812 	 6653
10812 	 7261
10812 	 8027
10812 	 6552
10812 	 6864
10812 	 5941
10812 	 6658
10812 	 7408
10812 	 7867
10812 	 5160
10812 	 6258
10812 	 7354
10812 	 7527
10812 	 6355
10812 	 8045
10812 	 7456
10812 	 7253
10812 	 7588
10812 	 6150
10812 	 8005
10812 	 7633
10812 	 7383
10812 	 7299
10812 	 5774
10812 	 5748
10812 	 6279
10812 	 6879
10812 	 6911
10812 	 6927
12112 	 7953
12112 	 8589
12112 	 8326
12112 	 8324
12112 	 8426
12112 	 7238
12112 	 8278
12112 	 9515
12112 	 6853
12112 	 7672
12112 	 6563
12112 	 7095
12112 	 8006
12112 	 8455
12112 	 5707
12112 	 6768
12112 	 8599
12112 	 8309
12112 	 7280
12112 	 9447
12112 	 8609
12112 	 8145
12112 	 8168
12112 	 6952
12112 	 9489
12112 	 8714
12112 	 8108
12112 	 7809
12112 	 6195
12112 	 6116
12112 	 7137
12112 	 8086
12112 	 7687
12112 	 7846
12235 	 7788
12235 	 7937
12235 	 7628
12235 	 7637
12235 	 6912
12235 	 7682
12235 	 8826
12235 	 6603
12235 	 7161
12235 	 6161
12235 	 6725
12235 	 7772
12235 	 8018
12235 	 5446
12235 	 6850
12235 	 7862
12235 	 7967
12235 	 6809
12235 	 8800
12235 	 7858
12235 	 7749
12235 	 8120
12235 	 6551
12235 	 8609
12235 	 8328
12235 	 7947
12235 	 7659
12235 	 6040
12235 	 5865
12235 	 6626
12235 	 7382
12235 	 7346
12235 	 7375
12478 	 8596
12478 	 8608
12478 	 8555
12478 	 7449
12478 	 8392
12478 	 9808
12478 	 7102
12478 	 7972
12478 	 6706
12478 	 7354
12478 	 8358
12478 	 8675
12478 	 5753
12478 	 6881
12478 	 8922
12478 	 8633
12478 	 7439
12478 	 9887
12478 	 8999
12478 	 8417
12478 	 8483
12478 	 7003
12478 	 9889
12478 	 8982
12478 	 8384
12478 	 8109
12478 	 6464
12478 	 6477
12478 	 7333
12478 	 8238
12478 	 7738
12478 	 8119
12893 	 8576
12893 	 8725
12893 	 7618
12893 	 8559
12893 	 9686
12893 	 7337
12893 	 8037
12893 	 6832
12893 	 7654
12893 	 8436
12893 	 9017
12893 	 5816
12893 	 7167
12893 	 8762
12893 	 8863
12893 	 7458
12893 	 9897
12893 	 8874
12893 	 8441
12893 	 8860
12893 	 7049
12893 	 9852
12893 	 8898
12893 	 8386
12893 	 8483
12893 	 6561
12893 	 6607
12893 	 7395
12893 	 8305
12893 	 7819
12893 	 8116
11943 	 8344
11943 	 7163
11943 	 8074
11943 	 9599
11943 	 6803
11943 	 7566
11943 	 6409
11943 	 7105
11943 	 7981
11943 	 8508
11943 	 5691
11943 	 6591
11943 	 8614
11943 	 8497
11943 	 7213
11943 	 9527
11943 	 8640
11943 	 7962
11943 	 8210
11943 	 6936
11943 	 9655
11943 	 8757
11943 	 8062
11943 	 7897
11943 	 6218
11943 	 6070
11943 	 7386
11943 	 8158
11943 	 7461
11943 	 7722
13189 	 7902
13189 	 8893
13189 	 10032
13189 	 7435
13189 	 8306
13189 	 6994
13189 	 7776
13189 	 8574
13189 	 9232
13189 	 6148
13189 	 7150
13189 	 8981
13189 	 8999
13189 	 7618
13189 	 10092
13189 	 9135
13189 	 8637
13189 	 8775
13189 	 7307
13189 	 10287
13189 	 9047
13189 	 8566
13189 	 8501
13189 	 6696
13189 	 6708
13189 	 7733
13189 	 8566
13189 	 8035
13189 	 8199
11399 	 7881
11399 	 8699
11399 	 6785
11399 	 7381
11399 	 6613
11399 	 6987
11399 	 7750
11399 	 8082
11399 	 5699
11399 	 6809
11399 	 8018
11399 	 8073
11399 	 7090
11399 	 8654
11399 	 8043
11399 	 7907
11399 	 8035
11399 	 6650
11399 	 8764
11399 	 8072
11399 	 7728
11399 	 7694
11399 	 6358
11399 	 6167
11399 	 6941
11399 	 7706
11399 	 7594
11399 	 7487
12361 	 9372
12361 	 6936
12361 	 8178
12361 	 6785
12361 	 7293
12361 	 8067
12361 	 8547
12361 	 5735
12361 	 6814
12361 	 8433
12361 	 8342
12361 	 7169
12361 	 9496
12361 	 8627
12361 	 8109
12361 	 8309
12361 	 6801
12361 	 9470
12361 	 8419
12361 	 8085
12361 	 7969
12361 	 6297
12361 	 6320
12361 	 7191
12361 	 8024
12361 	 7753
12361 	 7737
13927 	 6933
13927 	 7869
13927 	 6485
13927 	 7183
13927 	 8364
13927 	 8752
13927 	 5707
13927 	 6725
13927 	 8936
13927 	 8631
13927 	 7379
13927 	 10204
13927 	 8936
13927 	 8405
13927 	 8459
13927 	 7142
13927 	 10181
13927 	 9229
13927 	 8358
13927 	 8032
13927 	 6223
13927 	 6163
13927 	 7334
13927 	 8263
13927 	 7564
13927 	 8104
10378 	 7030
10378 	 6261
10378 	 6846
10378 	 7526
10378 	 7889
10378 	 5406
10378 	 6425
10378 	 7707
10378 	 7733
10378 	 6789
10378 	 8333
10378 	 7677
10378 	 7586
10378 	 7660
10378 	 6407
10378 	 8293
10378 	 7827
10378 	 7403
10378 	 7403
10378 	 6027
10378 	 6016
10378 	 6654
10378 	 7223
10378 	 7049
10378 	 7151
12001 	 6735
12001 	 7211
12001 	 8165
12001 	 8462
12001 	 5766
12001 	 6783
12001 	 8281
12001 	 8303
12001 	 7205
12001 	 9325
12001 	 8496
12001 	 8020
12001 	 8183
12001 	 6899
12001 	 9389
12001 	 8402
12001 	 8028
12001 	 7944
12001 	 6286
12001 	 6392
12001 	 7216
12001 	 7997
12001 	 7440
12001 	 7714
9841 	 6416
9841 	 7050
9841 	 7344
9841 	 5276
9841 	 6100
9841 	 7119
9841 	 7241
9841 	 6433
9841 	 7654
9841 	 7270
9841 	 7016
9841 	 7058
9841 	 6008
9841 	 7745
9841 	 7211
9841 	 6966
9841 	 6805
9841 	 5719
9841 	 5594
9841 	 6312
9841 	 6899
9841 	 6842
9841 	 6748
10757 	 7633
10757 	 7962
10757 	 5489
10757 	 6474
10757 	 7871
10757 	 7865
10757 	 6779
10757 	 8604
10757 	 7977
