"","class","N","gene_count","sd","se","ci"
"1","1",10,5507.2,187.202089257097,59.1984984794566,133.916307362201
"2","2",51,4234.78431372549,580.988134602609,81.3546113940618,163.405546026959
"3","3",10,175.3,25.060149862104,7.92471520694032,17.9269512685159
"4","4",51,125.960784313725,26.2053130371028,3.66947779415746,7.37036306010636
"5","5",10,758.8,64.8413448349122,20.5046336226717,46.3847038200798
"6","6",51,555.882352941176,94.4439827747271,13.2248028135735,26.5627981969388
